date,nb_taches_jour,volume_entrant_jour,etp_disponible,charge_par_etp,alerte_surcharge,temps_moyen_traitement,duree_traitement_mediane,taux_complexes,jour_semaine,mois,trimestre,est_fin_de_mois,est_fin_trimestre,est_lundi,est_vendredi,semaine_du_mois,volume_lag_1j,etp_lag_1j,volume_lag_7j,etp_lag_7j,volume_lag_14j,etp_lag_14j,volume_lag_30j,etp_lag_30j,volume_moy_7j,charge_moy_7j
2024-01-01,930,2858.0,55.8,51.218637992831546,0,53.76749435665914,2.0,2.0580645161290323,0,1,1,0,0,1,0,1,,,,,,,,,2858.0,51.218637992831546
2024-01-02,930,4139.0,55.0,75.25454545454545,0,54.224806201550386,2.0,2.0086021505376346,1,1,1,0,0,0,0,1,2858.0,55.8,,,,,,,3498.5,63.2365917236885
2024-01-03,930,4180.0,54.0,77.4074074074074,0,53.26209223847019,2.0,2.009677419354839,2,1,1,0,0,0,0,1,4139.0,55.0,,,,,,,3725.6666666666665,67.9601969515948
2024-01-04,945,2745.0,50.8,54.03543307086615,0,53.848351648351645,2.0,2.0,3,1,1,0,0,0,0,1,4180.0,54.0,,,,,,,3480.5,64.47900598141264
2024-01-05,945,2416.0,49.8,48.5140562248996,0,54.491189427312776,2.0,2.0243386243386245,4,1,1,0,0,0,1,1,2745.0,50.8,,,,,,,3267.6,61.286016030110034
2024-01-08,945,2484.0,47.8,51.96652719665272,0,55.687568756875685,2.0,2.06031746031746,0,1,1,0,0,1,0,2,2416.0,49.8,,,,,,,3137.0,59.732767891200474
2024-01-09,945,2466.0,47.8,51.58995815899582,0,54.08901098901099,2.0,2.0084656084656083,1,1,1,0,0,0,0,2,2484.0,47.8,,,,,,,3041.1428571428573,58.569509358028384
2024-01-10,945,2824.0,46.8,60.34188034188035,0,55.378437843784376,2.0,2.033862433862434,2,1,1,0,0,0,0,2,2466.0,47.8,2858.0,55.8,,,,,3036.285714285714,59.87282969360678
2024-01-11,945,3043.0,45.8,66.4410480349345,0,53.30573951434879,2.0,1.9936507936507937,3,1,1,0,0,0,0,2,2824.0,46.8,4139.0,55.0,,,,,2879.714285714286,58.613758633662364
2024-01-12,945,2387.0,50.6,47.17391304347826,0,54.213656387665196,2.0,1.9767195767195767,4,1,1,0,0,0,1,2,3043.0,45.8,4180.0,54.0,,,,,2623.5714285714284,54.29468801024392
2024-01-15,945,2245.0,52.0,43.17307692307692,0,53.65642151481888,2.0,2.001058201058201,0,1,1,0,0,1,0,3,2387.0,50.6,2745.0,50.8,,,,,2552.1428571428573,52.74292284627402
