Matricule,Type_Contrat,Service,Type_Absence,Date_Debut,Date_Fin,Duree_Jours,Valide,Commentaire_RH
6bbeffeb0e5e,CDI,Recouvrement,RTT,29/04/2024,2024-04-29,1,O,En attente validation
6bbeffeb0e5e,cdi,Recouvrement,MALADIE,22.01.2025,01/26/2025,5,O,RAS
6bbeffeb0e5e,CDI,Recouvrement,CONGE_PAYE,12/03/2024,20.03.2024,9,Y,URGENT
6bbeffeb0e5e,CDI,Recouvrement,CP,02-05-2025,07/05/2025,6,O,A régulariser
6bbeffeb0e5e,cdi,Recouvrement,rtt,28.04.2025,04/28/2025,1,Y,
6bbeffeb0e5e,cdi,Recouvrement,Congé Payé,10/01/2024,15.01.2024,6,0,A régulariser
6bbeffeb0e5e,CDI,Recouvrement,CONGE_PAYE,2024-08-17,2024-08-25,9,0,
6bbeffeb0e5e,CDI,Recouvrement,Maladie,27/10/2024,24.10.2024,1,Y,Validé manager
6bbeffeb0e5e,cdi,Recouvrement,FORMATION,28.03.2024,03/31/2024,4,N,Validé manager
6bbeffeb0e5e,CDI,Recouvrement,Congé Payé,15-09-2024,20/09/2024,6,NON,En attente validation
6bbeffeb0e5e,cdi,Recouvrement,Formation,12-10-2024,15/10/24,4,0,RAS
6bbeffeb0e5e,cdi,Recouvrement,Absent,08-04-2025,2025-04-08,1,N,
6bbeffeb0e5e,cdi,Recouvrement,CONGE_PAYE,19/02/25,02/28/2025,10,1,Validé manager
6bbeffeb0e5e,cdi,Recouvrement,Congé Payé,2024-06-09,06/18/2024,10,O,RAS
6bbeffeb0e5e,CDI,Recouvrement,CONGE_PAYE,10.07.2025,14/07/25,5,N,RAS
6bbeffeb0e5e,cdi,Recouvrement,MALADIE,2025-12-06,06/12/2025,1,O,Certificat fourni
6bbeffeb0e5e,CDI,Recouvrement,Congé Payé,18-03-2024,23.03.2024,6,1,Certificat fourni
6bbeffeb0e5e,CDI,Recouvrement,RTT,02-11-2024,02-11-2024,1,NON,Validé manager
6bbeffeb0e5e,cdi,Recouvrement,Congé Payé,31/10/24,09.11.2024,10,NON,Certificat fourni
6bbeffeb0e5e,cdi,Recouvrement,CP,18-08-2024,25.08.2024,8,N,
6bbeffeb0e5e,CDI,Recouvrement,Absent,05/07/2025,2025-07-05,1,Y,Certificat fourni
6bbeffeb0e5e,CDI,Recouvrement,MALADIE,11/28/2024,30.11.2024,3,OUI,
6bbeffeb0e5e,cdi,Recouvrement,Formation,27/03/2026,2026-03-28,2,OUI,
6bbeffeb0e5e,cdi,Recouvrement,rtt,23.02.2024,23-02-2024,1,O,Certificat fourni
6bbeffeb0e5e,CDI,Recouvrement,Formation,2025-05-13,14/05/25,2,Y,URGENT
6bbeffeb0e5e,CDI,Recouvrement,RTT,28/05/25,05/28/2025,1,0,RAS
6bbeffeb0e5e,cdi,Recouvrement,CP,18/09/24,09/24/2024,7,0,
6bbeffeb0e5e,CDI,Recouvrement,CP,2025-03-07,11.03.2025,5,NON,URGENT
d5d3fea0d185,cdi,Conformité KYC,rtt,27-02-2024,27-02-2024,1,OUI,
d5d3fea0d185,CDI,Conformité KYC,FORMATION,26/01/26,2026-01-28,3,N,A régulariser
d5d3fea0d185,cdi,Conformité KYC,CONGE_PAYE,2024-01-08,2024-01-12,5,Y,Validé manager
d5d3fea0d185,cdi,Conformité KYC,Absent,04-11-2024,04.11.2024,1,1,
d5d3fea0d185,CDI,Conformité KYC,rtt,24/02/24,24-02-2024,1,0,A régulariser
d5d3fea0d185,cdi,Conformité KYC,Maladie,12/06/2024,12/06/2024,1,Y,A régulariser
d5d3fea0d185,cdi,Conformité KYC,rtt,21/09/2024,2024-09-21,-1,OUI,A régulariser
d5d3fea0d185,cdi,Conformité KYC,RTT,28-03-2025,28-03-2025,1,O,Validé manager
d5d3fea0d185,cdi,Conformité KYC,MALADIE,2025-11-27,28.11.2025,2,Y,Validé manager
d5d3fea0d185,cdi,Conformité KYC,Congé Payé,02-02-2025,06/02/2025,5,O,A régulariser
d5d3fea0d185,CDI,Conformité KYC,Formation,24/04/25,27/04/2025,4,0,
d5d3fea0d185,CDI,Conformité KYC,CONGE_PAYE,12/05/2024,18/05/24,7,OUI,Certificat fourni
d5d3fea0d185,CDI,Conformité KYC,rtt,24/06/24,24/06/24,1,N,
d5d3fea0d185,cdi,Conformité KYC,rtt,2024-09-26,26.09.2024,1,O,RAS
d5d3fea0d185,CDI,Conformité KYC,CONGE_PAYE,11-12-2024,17-12-2024,7,Y,
d5d3fea0d185,CDI,Conformité KYC,RTT,10/04/2026,2026-04-10,1,0,Certificat fourni
d5d3fea0d185,cdi,Conformité KYC,RTT,22.03.2026,21/03/26,1,0,En attente validation
d5d3fea0d185,CDI,Conformité KYC,Absent,27/05/24,27.05.2024,1,O,En attente validation
d5d3fea0d185,cdi,Conformité KYC,Formation,09.04.2026,2026-04-11,3,NON,
d5d3fea0d185,cdi,Conformité KYC,Maladie,07.09.2024,07/09/2024,1,OUI,En attente validation
d5d3fea0d185,cdi,Conformité KYC,Maladie,28/02/2025,01/03/2025,2,O,En attente validation
d5d3fea0d185,cdi,Conformité KYC,rtt,03/27/2025,27-03-2025,1,1,
d5d3fea0d185,cdi,Conformité KYC,FORMATION,27/02/25,03-03-2025,5,NON,RAS
d5d3fea0d185,cdi,Conformité KYC,Formation CFA,26-04-2024,28/04/2024,3,1,En attente validation
d5d3fea0d185,CDI,Conformité KYC,RTT,06.04.2026,06-04-2026,95,1,RAS
d5d3fea0d185,CDI,Conformité KYC,Formation,27.07.2024,30-07-2024,4,Y,URGENT
d5d3fea0d185,cdi,Conformité KYC,FORMATION,18/07/2024,20-07-2024,3,N,Validé manager
20a8323e4291,Alternant,Recouvrement,Absent,27/04/2024,2024-04-27,1,1,URGENT
20a8323e4291,Alternant,Recouvrement,Congé Payé,2024-04-24,2024-05-03,10,NON,URGENT
20a8323e4291,alternant,Recouvrement,CP,09-02-2024,02/16/2024,8,NON,
20a8323e4291,Alternant,Recouvrement,CP,2024-01-19,2024-01-28,10,OUI,
20a8323e4291,alternant,Recouvrement,Maladie,09/03/2024,10/03/2024,2,1,Certificat fourni
20a8323e4291,alternant,Recouvrement,RTT,28/05/2024,28/05/24,1,O,A régulariser
