Titre Amazon,Catégorie,Prix,Marque,Description,Caractéristiques techniques,Lien produit
Sécateur à lames franches Verdania VX-200,Outils de coupe,"34,90 €",Verdania,Sécateur à lames franches pour la coupe précise du bois vert jusqu'à 22 mm de diamètre. Poignées ergonomiques revêtues d'élastomère limitant la fatigue lors des sessions de taille prolongées. Cran de sûreté à une main.,"Diamètre de coupe max 22 mm | Lame acier au carbone revêtue anti-adhérente | Poids 218 g | Longueur 20,5 cm | Garantie constructeur 5 ans | Lames rechangeables",https://www.neogarden.fr/outils-de-coupe/secateur-a-lames-franches-verdania-vx-200
Coupe-branches télescopique Verdania Longa 750,Outils de coupe,"59,90 €",Verdania,"Coupe-branches à manches télescopiques réglables de 65 à 95 cm, avec système à démultiplication permettant de sectionner des branches de 45 mm avec un effort réduit de moitié.","Diamètre de coupe max 45 mm | Manches aluminium télescopiques 65-95 cm | Poids 1,45 kg | Démultiplication x2 | Garantie constructeur 3 ans",https://www.neogarden.fr/outils-de-coupe/coupe-branches-telescopique-verdania-longa-750
Cisaille à gazon rotative BotaniK EasyTurn,Outils de coupe,"27,50 €",BotaniK,Cisaille à gazon avec tête pivotante sur 180° pour la finition des bordures et le long des murets. Utilisable d'une seule main.,Largeur de coupe 15 cm | Tête pivotante 180° | Acier inoxydable | Poids 640 g | Garantie constructeur 2 ans,https://www.neogarden.fr/outils-de-coupe/cisaille-a-gazon-rotative-botanik-easyturn
Tondeuse thermique Torvald TM-460 Pro,Tonte,"389,00 €",Torvald,"Tondeuse thermique tractée à moteur quatre temps, adaptée aux terrains de 600 à 1200 m². Fonction mulching et éjection latérale, bac de ramassage de 60 litres. Livrée sur rendez-vous par transporteur spécialisé.",Moteur 4 temps 139 cm3 | Largeur de coupe 46 cm | Bac 60 L | 6 hauteurs de coupe 25-75 mm | Traction arrière | Poids 32 kg | Garantie constructeur 3 ans,https://www.neogarden.fr/tonte/tondeuse-thermique-torvald-tm-460-pro
Tondeuse électrique Torvald E-Cut 340,Tonte,"149,00 €",Torvald,Tondeuse électrique filaire compacte pour surfaces jusqu'à 350 m². Guidon repliable pour un rangement vertical peu encombrant.,Puissance 1400 W | Largeur de coupe 34 cm | Bac 40 L | 5 hauteurs de coupe 20-60 mm | Câble non fourni | Poids 12 kg | Garantie constructeur 2 ans,https://www.neogarden.fr/tonte/tondeuse-electrique-torvald-e-cut-340
Robot tondeuse Torvald Autonom R500,Tonte,"899,00 €",Torvald,"Robot tondeuse pour jardins jusqu'à 500 m², pilotable depuis une application mobile. Gestion des pentes jusqu'à 35 %, retour automatique à la base et reprise après pluie.","Surface max 500 m2 | Pente max 35% | Largeur de coupe 18 cm | Batterie lithium-ion 2,5 Ah | Autonomie 70 min | Application iOS et Android | Indice IPX4 | Garantie constructeur 3 ans",https://www.neogarden.fr/tonte/robot-tondeuse-torvald-autonom-r500
Taille-haie sans fil Torvald HedgeMax 18V,Tonte,"179,00 €",Torvald,"Taille-haie sur batterie 18 V avec lame de 55 cm à double action, réduisant les vibrations. Batterie et chargeur inclus, compatibles avec toute la gamme 18 V de la marque.","Batterie 18 V 4,0 Ah incluse | Longueur de lame 55 cm | Écartement des dents 20 mm | Autonomie 55 min | Poids 3,2 kg | Garantie constructeur 3 ans",https://www.neogarden.fr/tonte/taille-haie-sans-fil-torvald-hedgemax-18v
Tuyau d'arrosage extensible Aquaflow Flex 30 m,Arrosage,"39,90 €",Aquaflow,"Tuyau extensible passant de 10 à 30 mètres sous pression, se rétractant automatiquement après usage. Livré avec pistolet multijet à huit positions et raccords laiton.",Longueur 10-30 m | Pression max 8 bars | Raccords laiton 1/2 pouce | Pistolet 8 jets inclus | Résistance -5°C à +50°C | Garantie constructeur 2 ans,https://www.neogarden.fr/arrosage/tuyau-d-arrosage-extensible-aquaflow-flex-30-m
Programmateur d'arrosage Aquaflow SmartTime,Arrosage,"49,90 €",Aquaflow,"Programmateur d'arrosage à visser sur robinet extérieur, avec écran LCD et six programmes indépendants. Fonction pluie différant l'arrosage de 24 ou 48 heures.","6 programmes indépendants | Écran LCD rétroéclairé | Alimentation 2 piles AA non fournies | Filetage 26/34 | Pression 0,5-8 bars | Indice IPX4 | Garantie constructeur 2 ans",https://www.neogarden.fr/arrosage/programmateur-d-arrosage-aquaflow-smarttime
Kit micro-aspersion Aquaflow DripLine 25 m,Arrosage,"44,50 €",Aquaflow,"Kit complet de micro-aspersion pour potager et massifs, comprenant tuyau capillaire, goutteurs réglables, piquets et raccords. Montage sans outil.",Longueur tuyau 25 m | 20 goutteurs réglables 0-10 L/h | 20 piquets | Réducteur de pression inclus | Diamètre 4/6 mm | Garantie constructeur 2 ans,https://www.neogarden.fr/arrosage/kit-micro-aspersion-aquaflow-dripline-25-m
Récupérateur d'eau de pluie Terraluxe 300 L,Arrosage,"119,00 €",Terraluxe,"Cuve de récupération d'eau de pluie de 300 litres en polyéthylène recyclé, avec robinet laiton et couvercle filtrant. Article volumineux livré sur rendez-vous.",Capacité 300 L | Polyéthylène recyclé traité anti-UV | Robinet laiton 1/2 pouce | Dimensions 60x60x110 cm | Poids à vide 14 kg | Kit de raccordement gouttière inclus | Garantie constructeur 5 ans,https://www.neogarden.fr/arrosage/recuperateur-d-eau-de-pluie-terraluxe-300-l
Arrosoir en zinc Terraluxe Classique 9 L,Arrosage,"32,00 €",Terraluxe,Arrosoir traditionnel en zinc galvanisé avec pomme amovible à fine pluie. Anse renforcée et bec long pour un arrosage précis en pot.,"Capacité 9 L | Zinc galvanisé | Pomme amovible fine pluie | Hauteur 38 cm | Poids à vide 1,3 kg",https://www.neogarden.fr/arrosage/arrosoir-en-zinc-terraluxe-classique-9-l
